participant,trial_num,trial_type,emotion,framing,peer,risk_level,FinancialDecisionResp.keys,FinancialDecisionResp.rt
1,13,peer,Neutral,Loss,Present,High,1,11.4875
1,14,peer,Neutral,Loss,Absent,High,1,8.1498
1,36,framing,Neutral,Loss,Absent,Low,2,10.499
1,4,emotion,Positive,Neutral,Absent,High,2,13.7054
1,28,peer,Neutral,Gain,Absent,High,2,6.0661
1,5,emotion,Negative,Neutral,Absent,Low,1,12.2315
1,21,peer,Neutral,Loss,Present,High,2,7.4484
1,33,framing,Neutral,Gain,Absent,High,2,8.9355
1,9,emotion,Neutral,Neutral,Absent,Low,1,4.6092
1,38,framing,Neutral,Loss,Absent,High,2,5.0671
1,39,framing,Neutral,Gain,Absent,Low,1,3.6332
1,23,peer,Neutral,Gain,Present,Low,1,9.1983
1,15,peer,Neutral,Gain,Present,High,2,3.7357
1,11,peer,Neutral,Gain,Present,Low,1,3.5591
1,12,peer,Neutral,Gain,Absent,Low,1,4.1027
1,2,emotion,Negative,Neutral,Absent,High,2,12.5644
1,16,peer,Neutral,Gain,Absent,High,2,11.5486
1,17,peer,Neutral,Loss,Present,Low,1,15.5137
1,35,framing,Neutral,Gain,Absent,Low,1,8.0059
1,30,peer,Neutral,Loss,Absent,Low,1,7.7011
1,26,peer,Neutral,Loss,Absent,High,2,3.6084
1,24,peer,Neutral,Gain,Absent,Low,1,2.1203
1,34,framing,Neutral,Loss,Absent,High,1,5.5487
1,10,emotion,Positive,Neutral,Absent,High,2,3.649
1,18,peer,Neutral,Loss,Absent,Low,1,3.9726
1,25,peer,Neutral,Loss,Present,High,2,1.866
1,27,peer,Neutral,Gain,Present,High,1,1.1352
1,6,emotion,Neutral,Neutral,Absent,High,1,1.1423
1,1,emotion,Positive,Neutral,Absent,Low,1,3.4162
1,31,framing,Neutral,Gain,Absent,Low,1,2.4385
1,8,emotion,Negative,Neutral,Absent,High,1,1.7775
1,20,peer,Neutral,Gain,Absent,Low,1,5.0522
1,22,peer,Neutral,Loss,Absent,High,2,5.966
1,32,framing,Neutral,Loss,Absent,Low,1,2.3174
1,37,framing,Neutral,Gain,Absent,High,2,1.4377
1,19,peer,Neutral,Gain,Present,Low,1,2.5423
1,7,emotion,Positive,Neutral,Absent,Low,1,1.002
1,3,emotion,Neutral,Neutral,Absent,Low,1,1.4374
1,40,framing,Neutral,Loss,Absent,Low,1,0.892
1,29,peer,Neutral,Loss,Present,Low,1,0.7173
2,21,peer,Neutral,Loss,Present,High,1,5.7413
2,26,peer,Neutral,Loss,Absent,High,2,6.624
2,4,emotion,Positive,Neutral,Absent,High,1,3.1612
2,6,emotion,Neutral,Neutral,Absent,High,1,4.4467
2,19,peer,Neutral,Gain,Present,Low,2,2.8656
2,37,framing,Neutral,Gain,Absent,High,1,0.0007
2,31,framing,Neutral,Gain,Absent,Low,2,1.2269
2,9,emotion,Neutral,Neutral,Absent,Low,2,0.6673
2,22,peer,Neutral,Loss,Absent,High,2,0.4839
2,7,emotion,Positive,Neutral,Absent,Low,2,1.504
2,32,framing,Neutral,Loss,Absent,Low,2,7.476
2,33,framing,Neutral,Gain,Absent,High,1,2.4535
2,35,framing,Neutral,Gain,Absent,Low,1,3.0643
2,10,emotion,Positive,Neutral,Absent,High,1,2.1722
2,11,peer,Neutral,Gain,Present,Low,2,0.8363
2,25,peer,Neutral,Loss,Present,High,1,1.5991
2,38,framing,Neutral,Loss,Absent,High,1,0.4157
2,1,emotion,Positive,Neutral,Absent,Low,2,1.5169
2,17,peer,Neutral,Loss,Present,Low,1,1.7845
2,3,emotion,Neutral,Neutral,Absent,Low,1,1.3005
2,23,peer,Neutral,Gain,Present,Low,1,0.0007
2,2,emotion,Negative,Neutral,Absent,High,2,1.579
2,16,peer,Neutral,Gain,Absent,High,2,3.9163
2,40,framing,Neutral,Loss,Absent,Low,2,3.0643
2,12,peer,Neutral,Gain,Absent,Low,2,0.4061
2,28,peer,Neutral,Gain,Absent,High,2,0.4185
2,29,peer,Neutral,Loss,Present,Low,2,0.7189
2,13,peer,Neutral,Loss,Present,High,1,1.1337
2,36,framing,Neutral,Loss,Absent,Low,2,1.6389
2,39,framing,Neutral,Gain,Absent,Low,1,6.8778
2,27,peer,Neutral,Gain,Present,High,1,0.9185
2,18,peer,Neutral,Loss,Absent,Low,1,0.4278
2,15,peer,Neutral,Gain,Present,High,2,0.3354
2,5,emotion,Negative,Neutral,Absent,Low,1,2.8673
2,30,peer,Neutral,Loss,Absent,Low,2,0.0432
2,14,peer,Neutral,Loss,Absent,High,2,1.0323
2,8,emotion,Negative,Neutral,Absent,High,1,2.0924
2,24,peer,Neutral,Gain,Absent,Low,2,4.2467
2,34,framing,Neutral,Loss,Absent,High,2,0.9933
2,20,peer,Neutral,Gain,Absent,Low,2,4.2638
3,32,framing,Neutral,Loss,Absent,Low,2,22.9225
3,3,emotion,Neutral,Neutral,Absent,Low,1,27.3797
3,40,framing,Neutral,Loss,Absent,Low,2,42.5164
3,22,peer,Neutral,Loss,Absent,High,2,11.1876
3,27,peer,Neutral,Gain,Present,High,2,15.0244
3,37,framing,Neutral,Gain,Absent,High,2,11.1785
3,29,peer,Neutral,Loss,Present,Low,2,17.851
3,18,peer,Neutral,Loss,Absent,Low,2,7.7921
3,4,emotion,Positive,Neutral,Absent,High,2,9.9813
3,2,emotion,Negative,Neutral,Absent,High,2,4.3537
3,28,peer,Neutral,Gain,Absent,High,2,7.001
3,7,emotion,Positive,Neutral,Absent,Low,2,5.0568
3,16,peer,Neutral,Gain,Absent,High,2,3.6113
3,1,emotion,Positive,Neutral,Absent,Low,2,3.3901
3,38,framing,Neutral,Loss,Absent,High,2,7.1723
3,26,peer,Neutral,Loss,Absent,High,2,5.8407
3,21,peer,Neutral,Loss,Present,High,2,10.2131
3,35,framing,Neutral,Gain,Absent,Low,2,5.7965
3,25,peer,Neutral,Loss,Present,High,2,4.0396
3,6,emotion,Neutral,Neutral,Absent,High,2,3.082
3,8,emotion,Negative,Neutral,Absent,High,2,2.0251
3,13,peer,Neutral,Loss,Present,High,2,1.9878
3,17,peer,Neutral,Loss,Present,Low,2,3.187
3,11,peer,Neutral,Gain,Present,Low,2,4.4808
3,23,peer,Neutral,Gain,Present,Low,2,3.6613
3,34,framing,Neutral,Loss,Absent,High,2,2.4527
3,39,framing,Neutral,Gain,Absent,Low,2,2.3467
3,19,peer,Neutral,Gain,Present,Low,2,1.8632
3,20,peer,Neutral,Gain,Absent,Low,2,1.618
3,14,peer,Neutral,Loss,Absent,High,2,2.1192
3,10,emotion,Positive,Neutral,Absent,High,2,1.6653
3,31,framing,Neutral,Gain,Absent,Low,2,2.4376
3,36,framing,Neutral,Loss,Absent,Low,2,1.2283
3,9,emotion,Neutral,Neutral,Absent,Low,2,1.6378
3,30,peer,Neutral,Loss,Absent,Low,2,1.4676
3,24,peer,Neutral,Gain,Absent,Low,2,1.9037
3,15,peer,Neutral,Gain,Present,High,2,3.2336
3,33,framing,Neutral,Gain,Absent,High,2,1.7564
3,5,emotion,Negative,Neutral,Absent,Low,2,1.2621
3,12,peer,Neutral,Gain,Absent,Low,2,1.7727
5,15,peer,Neutral,Gain,Present,High,1,82.0412
5,10,emotion,Positive,Neutral,Absent,High,1,36.9115
5,27,peer,Neutral,Gain,Present,High,2,6.6238
5,36,framing,Neutral,Loss,Absent,Low,1,38.7531
5,34,framing,Neutral,Loss,Absent,High,2,3.6901
5,3,emotion,Neutral,Neutral,Absent,Low,2,20.2225
5,17,peer,Neutral,Loss,Present,Low,2,6.3744
5,32,framing,Neutral,Loss,Absent,Low,1,3.3589
5,14,peer,Neutral,Loss,Absent,High,1,16.0657
5,30,peer,Neutral,Loss,Absent,Low,1,18.2235
5,19,peer,Neutral,Gain,Present,Low,1,5.2664
5,29,peer,Neutral,Loss,Present,Low,1,12.9835
5,5,emotion,Negative,Neutral,Absent,Low,1,13.6396
5,6,emotion,Neutral,Neutral,Absent,High,2,33.5954
5,38,framing,Neutral,Loss,Absent,High,2,3.8933
5,24,peer,Neutral,Gain,Absent,Low,1,9.4904
5,35,framing,Neutral,Gain,Absent,Low,1,16.2234
5,7,emotion,Positive,Neutral,Absent,Low,1,4.2582
5,25,peer,Neutral,Loss,Present,High,2,38.0358
5,39,framing,Neutral,Gain,Absent,Low,1,2.1466
5,13,peer,Neutral,Loss,Present,High,2,3.2394
5,40,framing,Neutral,Loss,Absent,Low,1,2.1242
5,8,emotion,Negative,Neutral,Absent,High,2,3.3916
5,11,peer,Neutral,Gain,Present,Low,1,4.3903
5,33,framing,Neutral,Gain,Absent,High,2,3.2958
5,22,peer,Neutral,Loss,Absent,High,2,1.9335
5,9,emotion,Neutral,Neutral,Absent,Low,1,1.7228
5,1,emotion,Positive,Neutral,Absent,Low,1,2.5757
5,28,peer,Neutral,Gain,Absent,High,2,2.3406
5,37,framing,Neutral,Gain,Absent,High,2,1.3854
5,4,emotion,Positive,Neutral,Absent,High,2,0.8826
5,23,peer,Neutral,Gain,Present,Low,1,2.7218
5,18,peer,Neutral,Loss,Absent,Low,1,4.4005
5,21,peer,Neutral,Loss,Present,High,2,3.5343
5,26,peer,Neutral,Loss,Absent,High,2,1.5332
5,20,peer,Neutral,Gain,Absent,Low,1,1.4892
5,12,peer,Neutral,Gain,Absent,Low,1,2.7504
5,16,peer,Neutral,Gain,Absent,High,2,2.7075
5,2,emotion,Negative,Neutral,Absent,High,2,2.6246
5,31,framing,Neutral,Gain,Absent,Low,1,1.3159
6,38,framing,Neutral,Loss,Absent,High,2,33.9133
6,18,peer,Neutral,Loss,Absent,Low,1,48.9393
6,1,emotion,Positive,Neutral,Absent,Low,1,6.8166
6,30,peer,Neutral,Loss,Absent,Low,1,19.1193
6,24,peer,Neutral,Gain,Absent,Low,2,37.9132
6,4,emotion,Positive,Neutral,Absent,High,2,9.5291
